Actual,Predicted
200,196.0
196,194.0
223,210.0
139,196.0
224,220.0
146,227.0
252,215.0
221,190.0
210,182.0
180,228.0
222,201.0
231,211.0
200,249.0
263,239.0
193,170.0
201,175.0
174,216.0
228,182.0
214,171.0
229,189.0
221,168.0
196,139.0
208,186.0
176,182.0
193,177.0
166,231.0
223,223.0
232,189.0
187,169.0
153,179.0
160,209.0
171,171.0
234,189.0
199,218.0
157,230.0
240,201.0
206,132.0
174,209.0
174,174.0
138,227.0
222,201.0
246,188.0
135,162.0
241,192.0
173,222.0
245,206.0
198,198.0
195,207.0
196,227.0
166,222.0
224,194.0
163,239.0
223,189.0
251,168.0
168,184.0
181,185.0
180,189.0
235,223.0
197,153.0
167,194.0
179,256.0
178,218.0
178,187.0
205,244.0
164,215.0
142,219.0
237,169.0
162,217.0
159,230.0
212,196.0
236,173.0
247,231.0
227,215.0
202,184.0
173,206.0
197,224.0
184,214.0
184,181.0
177,184.0
181,213.0
262,184.0
217,190.0
162,201.0
195,173.0
188,189.0
186,228.0
160,165.0
143,211.0
216,228.0
241,178.0
206,167.0
177,166.0
201,248.0
158,215.0
210,171.0
173,188.0
167,218.0
251,189.0
223,198.0
164,196.0
230,243.0
262,198.0
203,207.0
160,262.0
235,227.0
138,205.0
229,163.0
166,228.0
223,173.0
253,198.0
227,198.0
176,224.0
192,229.0
184,171.0
203,230.0
244,196.0
224,185.0
200,194.0
243,230.0
213,192.0
230,184.0
233,205.0
143,193.0
214,197.0
190,237.0
220,255.0
208,207.0
168,231.0
198,220.0
153,194.0
198,220.0
161,225.0
216,183.0
214,230.0
249,239.0
164,247.0
182,199.0
158,206.0
172,200.0
202,187.0
182,194.0
228,198.0
244,232.0
186,228.0
201,207.0
229,181.0
210,146.0
248,189.0
160,132.0
193,249.0
167,232.0
179,182.0
240,201.0
220,209.0
190,232.0
185,172.0
204,199.0
146,183.0
197,205.0
214,179.0
191,232.0
200,179.0
173,199.0
168,189.0
224,211.0
163,189.0
253,224.0
155,181.0
227,207.0
198,186.0
246,194.0
250,192.0
209,179.0
147,246.0
189,188.0
230,252.0
195,178.0
208,178.0
238,191.0
202,171.0
220,223.0
187,221.0
156,171.0
180,205.0
249,198.0
194,189.0
231,231.0
157,245.0
161,250.0
186,203.0
258,196.0
189,252.0
211,217.0
165,218.0
154,194.0
219,193.0
165,175.0
240,261.0
244,181.0
197,214.0
164,241.0
179,231.0
186,164.0
173,225.0
192,192.0
218,215.0
221,205.0
186,229.0
164,173.0
220,220.0
173,199.0
200,231.0
160,243.0
166,171.0
231,229.0
189,181.0
195,230.0
218,228.0
238,197.0
131,232.0
173,231.0
228,243.0
219,215.0
252,207.0
143,224.0
208,226.0
245,189.0
220,241.0
182,201.0
190,204.0
194,173.0
212,206.0
154,198.0
213,148.0
247,235.0
246,181.0
171,150.0
200,153.0
175,220.0
167,209.0
200,198.0
189,191.0
229,213.0
177,156.0
197,171.0
230,230.0
204,232.0
246,231.0
167,194.0
169,175.0
246,148.0
218,189.0
197,175.0
175,178.0
164,229.0
181,230.0
201,200.0
211,182.0
169,181.0
141,231.0
250,167.0
222,205.0
192,248.0
184,224.0
205,184.0
210,228.0
231,179.0
220,193.0
185,239.0
208,200.0
181,172.0
159,210.0
245,170.0
172,177.0
187,250.0
240,222.0
194,225.0
177,246.0
200,175.0
206,157.0
194,186.0
171,217.0
161,177.0
225,205.0
240,256.0
211,171.0
217,224.0
224,171.0
212,209.0
136,195.0
132,181.0
176,153.0
148,199.0
176,246.0
206,220.0
172,231.0
164,217.0
190,192.0
218,192.0
230,180.0
198,173.0
178,229.0
165,196.0
210,219.0
144,164.0
235,249.0
226,156.0
181,198.0
204,249.0
194,230.0
192,175.0
169,246.0
202,175.0
220,251.0
264,217.0
217,170.0
181,191.0
236,182.0
194,198.0
192,213.0
253,239.0
188,184.0
155,166.0
197,173.0
225,198.0
163,243.0
202,228.0
171,200.0
212,193.0
214,190.0
195,182.0
216,194.0
193,216.0
236,216.0
228,204.0
153,188.0
200,226.0
220,203.0
226,232.0
225,188.0
224,155.0
201,229.0
225,228.0
260,229.0
240,186.0
139,240.0
249,192.0
134,215.0
148,180.0
255,194.0
243,183.0
149,219.0
206,210.0
237,194.0
240,252.0
257,220.0
215,226.0
171,202.0
267,209.0
190,189.0
157,206.0
175,207.0
235,215.0
257,220.0
156,189.0
168,232.0
198,181.0
210,178.0
159,193.0
206,217.0
216,206.0
205,231.0
173,205.0
141,191.0
247,216.0
194,229.0
231,240.0
170,231.0
137,222.0
141,168.0
158,199.0
199,189.0
191,216.0
172,172.0
145,220.0
183,230.0
150,187.0
175,185.0
208,163.0
159,216.0
201,217.0
200,188.0
201,194.0
200,172.0
218,192.0
157,201.0
199,193.0
248,224.0
201,249.0
182,209.0
