Actual,Predicted
200,207.84765625
196,175.73828125
223,212.87109375
139,-139688270086.22656
224,-139688270090.53125
146,203.47265625
252,211.80859375
221,171.66796875
210,445541460977.1992
180,-139688270093.27344
222,218.86328125
231,224.58203125
200,-139688270085.20703
263,-139688270082.45312
193,191.6484375
201,-139688270085.77734
174,169.765625
228,192.3125
214,-139688270084.16016
229,222.33203125
221,191.765625
196,166.3984375
208,-139688270090.8203
176,-139688270088.76562
193,213.78125
166,167.90234375
223,220.9765625
232,188.06640625
187,161.66796875
153,-139688270085.54297
160,173.15625
171,164.05859375
234,-139688270091.19922
199,192.84765625
157,214.7890625
240,197.125
206,132.34765625
174,-139688270084.19922
174,181.203125
138,-139688270080.6953
222,223.8515625
246,174.5546875
135,-139688270085.40234
241,192.44140625
173,-139688270086.14062
245,-139688270085.57422
198,181.10546875
195,-139688270085.97656
196,-139688270090.08594
166,-139688270090.76172
224,-139688270080.48828
163,228.83984375
223,212.01953125
251,173.953125
168,-139688270082.59766
181,-139688270083.73047
180,-139688270087.7422
235,214.8828125
197,-139688270092.78125
167,-139688270085.46094
179,258.81640625
178,208.5234375
178,190.64453125
205,214.9296875
164,241.8125
142,210.546875
237,204.16015625
162,-139688270088.76172
159,210.93359375
212,157.81640625
236,-139688270079.53906
247,-139688270079.73828
227,-139688270084.5
202,210.62109375
173,-139688270081.96484
197,198.6875
184,165.1484375
184,190.52734375
177,-139688270087.28516
181,194.92578125
262,200.16796875
217,191.0234375
162,-139688270085.6836
195,248.3359375
188,199.34375
186,206.8203125
160,182.875
143,231.69921875
216,184.6875
241,216.546875
206,212.18359375
177,-139688270092.08203
201,-139688270082.10547
158,-139688270090.42188
210,-139688270084.9961
173,-139688270081.72266
167,186.546875
251,218.35546875
223,189.69140625
164,239.69140625
230,200.98828125
262,3208334475406.5117
203,-139688270089.89453
160,268.83984375
235,-139688270083.46484
138,191.9296875
229,226.7734375
166,235.10546875
223,203.87890625
253,207.80078125
227,-139688270083.71484
176,-139688270088.27734
192,239.15234375
184,-139688270088.89453
203,219.69921875
244,257.55078125
224,172.61328125
200,-139688270083.16016
243,202.22265625
213,189.34765625
230,243.51953125
233,182.79296875
143,196.98828125
214,-139688270088.67578
190,-139688270087.38672
220,231.33203125
208,-139688270086.9961
168,-139688270080.41016
198,-139688270084.35547
153,-139688270083.3164
198,-139688270082.2461
161,168.13671875
216,-139688270091.6172
214,-139688270083.90625
249,218.22265625
164,-5723412281520.418
182,174.9296875
158,179.515625
172,-139688270087.77734
202,173.75390625
182,191.796875
228,-139688270083.625
244,194.1875
186,-139688270079.76172
201,189.8984375
229,-139688270085.4414
210,190.4765625
248,197.3828125
160,132.14453125
193,247.08203125
167,204.42578125
179,244.2421875
240,-139688270087.85938
220,199.41015625
190,201.78125
185,235.35546875
204,-139688270091.59375
146,-139688270087.11328
197,198.1171875
214,-139688270084.48828
191,181.10546875
200,214.5703125
173,-139688270093.22656
168,-139688270086.0586
224,-139688270084.1797
163,213.890625
253,-139688270082.4922
155,201.39453125
227,193.8828125
198,209.08203125
246,204.2734375
250,208.30859375
209,205.109375
147,203.98828125
189,255.59765625
230,250.43359375
195,150.00390625
208,192.7265625
238,157.32421875
202,171.55859375
220,-139688270085.71094
187,188.52734375
156,236.12109375
180,189.19140625
249,-139688270082.9414
194,195.10546875
231,194.86328125
157,223.18359375
161,-139688270079.71094
186,162.85546875
258,-139688270087.09375
189,260.75390625
211,219.87109375
165,190.43359375
154,168.25
219,-139688270086.58984
165,203.23046875
240,255.74609375
244,-139688270083.3789
197,-139688270082.7422
164,216.66015625
179,153.28515625
186,160.1953125
173,207.125
192,224.51953125
218,219.16015625
221,-139688270086.375
186,191.7265625
164,168.74609375
220,-139688270085.3203
173,210.50390625
200,178.3515625
160,193.2890625
166,242.7578125
231,197.47265625
189,-139688270082.52734
195,234.39453125
218,-139688270081.88672
238,192.4453125
131,204.56640625
173,-139688270086.09766
228,-139688270084.9453
219,191.125
252,-139688270083.79688
143,251.3515625
208,-139688270088.70703
245,179.30078125
220,221.6640625
182,-139688270085.40234
190,162.7734375
194,206.2578125
212,-139688270083.98828
154,231.34375
213,144.828125
247,-139688270082.1914
246,196.36328125
171,202.53515625
200,-139688270086.9922
175,185.29296875
167,239.125
200,173.6875
189,-139688270083.67188
229,-139688270082.05078
177,-139688270087.82422
197,163.1953125
230,212.63671875
204,211.41796875
246,-139688270080.1914
167,-139688270086.45312
169,253.82421875
246,143.80859375
218,-139659464864.08594
197,221.9453125
175,176.3515625
164,-139688270084.5547
181,158.51953125
201,234.43359375
211,196.734375
169,186.38671875
141,193.64453125
250,-139688270087.46875
222,160.31640625
192,243.89453125
184,149.140625
205,-139688270084.65234
210,224.4140625
231,200.0078125
220,210.2109375
185,231.30078125
208,209.078125
181,224.73828125
159,-139688270088.375
245,242.82421875
172,181.703125
187,204.0390625
240,204.4921875
194,189.54296875
177,230.29296875
200,212.35546875
206,202.06640625
194,167.4453125
171,190.73046875
161,175.40625
225,177.9765625
240,264.90234375
211,193.3046875
217,-139688270081.36328
224,207.84765625
212,187.359375
136,237.46875
132,-139688270085.5078
176,187.03125
148,204.671875
176,-139688270088.05078
206,-139688270082.41797
172,225.02734375
164,156.90234375
190,-139688270088.41406
218,234.17578125
230,-139688270081.47266
198,-139688270079.84375
178,171.05859375
165,179.75
210,172.7734375
144,-139688270088.76562
235,249.17578125
226,179.35546875
181,180.68359375
204,202.48046875
194,195.08984375
192,189.4609375
169,189.57421875
202,-139688270083.3086
220,234.77734375
264,-139688270081.30078
217,180.61328125
181,202.21875
236,-139688270087.95703
194,-139688270081.35938
192,195.578125
253,189.8046875
188,-139688270087.16797
155,-139688270091.10938
197,172.6640625
225,221.23046875
163,-139688270086.5664
202,220.81640625
171,213.859375
212,222.13671875
214,-139688270086.02734
195,-139688270087.1836
216,190.58984375
193,195.55859375
236,204.2578125
228,190.37890625
153,186.5078125
200,178.484375
220,230.85546875
226,-139688270085.32812
225,240.45703125
224,201.2265625
201,-139688270089.6289
225,192.8671875
260,227.53515625
240,-139688270088.20703
139,165.73828125
249,168.83203125
134,224.921875
148,188.76171875
255,253.1328125
243,227.39453125
149,-139688270086.96484
206,208.04296875
237,-139688270085.70312
240,-139688270086.98047
257,-139688270082.60547
215,-139688270084.52734
171,166.05078125
267,157.05859375
190,232.0625
157,213.83203125
175,191.02734375
235,-139688270090.86328
257,210.71484375
156,-139688270087.73047
168,-139688270079.64453
