Actual,Predicted
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Healthy,Hypertension
Diabetes,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Healthy,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
Hypertension,Hypertension
